非	21112111	1819442
雖	25125121432411121	1811358
雲	145244441154	1805872
至	154121	1799059
幹	1225111234112	1797831
通	5425112454	1786869
認	41112515344544	1784729
失	31134	1782384
火	4334	1780390
哥	1251212512	1776477
士	121	1775727
之	454	1773763
五	1251	1770398
驚	1223525131341211254444	1761953
現	11212511135	1761139
魔	41312341234325113554	1760330
竟	41431251135	1760070
姐	53125111	1758924
乎	34312	1757322
主	41121	1756315
劍	341251251343422	1751704
往	33241121	1743435
量	251112511211	1742437
早	251112	1738903
結	554444121251	1732776
怕	44232511	1714820
流	4414154325	1714438
刪	2522122	1712335
溼	4411554554121	1706830
突	445341344	1706693
坐	3434121	1706273
斯	122111343312	1705720
音	414312511	1700301
緊	12512554554234	1699517
指	121352511	1699010
半	43112	1695098
記	4111251515	1694800
利	3123422	1691519
倒	3215412122	1685421
書	5111212511	1683351
微	3322521353134	1682510
步	2121233	1677549
們	3225112511	1674187
教	12135213134	1671585
喜	121251431251	1669981
可	12512	1669176
越	121213415534	1669176
影	251141251234333	1667165
誰	411125132411121	1664240
冷	4134454	1663226
道	431325111454	1662553
告	3121251	1654831
象	35251353334	1641105
容	4453434251	1638318
怪	44254121	1636985
傳	3212511214124	1634638
錢	3411243115341534	1634329
季	31234521	1628550
言	4111251	1626005
養	43111344511534	1619753
隨	52131212511454	1616322
每	3155414	1615025
雙	324111213241112154	1611629
服	35115254	1611511
擊	12511125235543112	1610628
急	355114544	1609907
雞	344355413432411121	1604249
擠	12141432533543211	1603500
武	11212154	1603136
哪	251511352	1598544
換	121352534134	1596459
數	251125125313134	1594719
站	4143121251	1594038
房	45134153	1580289
安	445531	1580103
管	31431444525151	1579206
刻	41533422	1577816
啥	25134112251	1576190
題	251112134132511134	1576178
衣	413534	1574727
周	35121251	1572776
樣	123443112145534	1569842
靜	1121251134435112	1568467
傷	3231251113533	1568363
百	132511	1562451
哇	251121121	1561080
拿	3412513112	1558908
媽	5311211254444	1556493
辦	4143113534143112	1556075
星	251131121	1555656
化	3235	1551401
功	12153	1545623
絕	554444535215	1543340
令	34454	1542791
系	3554234	1542245
般	3354143554	1540949
必	45434	1540785
業	2243143111234	1538051
爾	13425234343434	1536690
件	323112	1535235
血	325221	1533230
代	32154	1532729
精	43123411212511	1532565
弟	4351523	1531804
終	55444435444	1528837
近	3312454	1525463
條	3223541234	1525439
戰	2512512511121534	1524225
值	3212251111	1520306
青	11212511	1514968
界	251213432	1513395
司	51251	1511784
整	1251234313412121	1511668
字	445521	1506615
晚	25113525135	1504532
民	51515	1502697
幫	12112112432511252	1501633
切	1553	1500592
即	5115452	1500101
忙	442415	1499024
交	413434	1498418
暗	2511414312511	1491081
夫	1134	1490506
員	2512511134	1487168
根	1234511534	1486057
哈	251341251	1479528
靈	145244442512512511234341	1478814
夜	41323544	1477661
父	3434	1475667
制	31125222	1470792
友	1354	1469919
阿	5212512	1467275
息	3251114544	1464425
衝	332312511211112	1462983
九	35	1462253
保	322511234	1459752
片	3215	1459001
形	1132333	1458843
陣	521251112	1457774
決	4415134	1456467
各	354251	1456128
報	121431125254	1456017
興	3211251251511134	1454813
既	511541535	1453256
陽	52251113533	1450226
語	41112511251251	1443913
億	324143125114544	1443650
錯	3411243112212511	1439927
超	121213453251	1439240
劉	354533411243122	1435052
極	123452251541	1432554
度	413122154	1427850
識	4111251414312511534	1426907
備	321221325112	1423555
慢	44225112522154	1420995
雪	14524444511	1420388
苦	12212251	1410172
若	12213251	1409209
領	34454132511134	1408920
收	523134	1407363
盡	51121444425221	1405564
準	4413241112112	1405527
華	1221122112	1400451
體	2554525112512211251431	1399811
答	314314341251	1396906
眾	25221323434	1396661
千	312	1394964
消	4412432511	1392838
篩	3143143251511252	1388300
視	45242511135	1387375
羅	2522155444432411121	1383224
敢	51221113134	1382369
留	3545325121	1378671
克	1225135	1377926
樂	325115545541234	1377260
夠	35435435251	1368470
梨	31234221234	1367900
跑	251212135515	1367297
